Phone,Account.Length,Day.Mins,Day.Calls,Day.Charge,Eve.Mins,Eve.Calls,Eve.Charge,Night.Mins,Night.Calls,Night.Charge,Intl.Mins,Intl.Calls,Intl.Charge,CustServ.Calls,Churn.
382-4657,128,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,False.
371-7191,107,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,False.
358-1921,137,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,False.
375-9999,84,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,False.
330-6626,75,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,False.
391-8027,118,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,False.
355-9993,121,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,False.
329-9001,147,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,False.
335-4719,117,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False.
330-8173,141,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False.
329-6603,65,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True.
344-9403,74,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,False.
394-8006,95,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,False.
366-9238,62,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4,False.
350-8884,85,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False.
386-2923,93,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False.
356-2992,76,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,False.
373-2782,73,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,False.
396-5800,147,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False.
393-7984,77,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True.
350-2565,111,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False.
343-4696,132,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0,False.
331-3698,174,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False.
357-3817,57,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False.
353-2630,20,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False.
410-7789,49,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1,False.
416-8428,142,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False.
370-3359,75,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False.
383-1121,172,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False.
360-1596,12,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True.
395-2854,57,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False.
362-1407,72,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False.
341-9764,36,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False.
402-1381,136,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False.
332-9891,149,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,False.
